time="2024-01-31 22:10:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:11:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=27 HostName=DESKTOP-HIPHS03 Method=PUT Path=/api/v1/role/ SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:11:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:11:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:13:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:15:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=27 HostName=DESKTOP-HIPHS03 Method=PUT Path=/api/v1/role/ SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:15:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:15:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:18:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:19:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:19:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:20:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:20:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:21:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:37:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="1 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:37:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:38:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:39:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
time="2024-01-31 22:39:10" level=info func=new_demo/middleware.Logger.func1 file="F:/new_demo/middleware/logger.go:86" ClientIp="::1" DataSize=302 HostName=DESKTOP-HIPHS03 Method=GET Path=/api/v1/role/ SpendTime="0 ms" StatusCode=200 UserAgent=axios/1.6.5
